ID,Item,Definition
42,(if rejective) Are the legal provisions challenged before or after their entry into force?,Is the subject of the popular vote the proposal for a provision or a legal act (before entry into force) or the already adopted and promulgated act (after entry into force)?
43,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions."
44,Can only issues of special importance be the subjects of referendums?,Is the positive scope of initiatives limited to questions that are deemed important?
45,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a initiative, only those topics that are listed in the relevant legal act"
46,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?"
47,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions."
48,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations"
49,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights
50,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc."
51,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc."
52,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language
53,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory
54,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.
55,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on initiatives about the organisation and the rules of the internal security of the state
56,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures
57,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free
58,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship 
59,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country
60,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum 
61,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel
62,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences
63,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences
64,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary
65,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments"
66,"Are there any other prohibited issues? If so, describe.","If there are any other prohibited topics, please indicate those in the comments section"
67,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (the initiative is supported by the required number of citizens, it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion"
68,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result"
69,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid
70,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass
71,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters"
72,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.
73,How many rejective citizens’ initiatives have been launched since 1990?,How many rejective citizens' initiatives have been started since 1990? 
74,How many rejective citizens’ initiatives have been declared formally or substantively inadmissible since 1990?,How many rejective citizens' initiatives have failed because a state organ found that they were not compatible with the formal or substantive limits?
75,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level"
